OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
2115,37,119,002903,1,371190029031,Block Group 1,0016266,"Block Group 1, Census Tract 29.03, Mecklenburg County, North Carolina",435,0,0,9,0,0,0,15,0,0,0,35,52,20,56,68,180,185417,348,0,0,14467949.1078491,16041.1287360367
2116,37,119,003300,3,371190033003,Block Group 3,0016330,"Block Group 3, Census Tract 33, Mecklenburg County, North Carolina",448,8,16,10,8,9,22,0,43,33,58,100,41,45,25,7,23,60944,105,0,0,5705462.45855713,11894.7420427683
2117,37,119,005825,1,371190058251,Block Group 1,0016532,"Block Group 1, Census Tract 58.25, Mecklenburg County, North Carolina",1656,158,30,129,97,210,90,31,75,94,166,160,164,62,114,15,61,45328,748,85,0.11363636,28386663.3942871,34802.7433724015
2118,37,119,005825,2,371190058252,Block Group 2,0016533,"Block Group 2, Census Tract 58.25, Mecklenburg County, North Carolina",722,50,57,0,46,28,60,67,67,25,64,96,51,66,0,15,30,43478,466,12,0.02575107,31851602.1791992,33351.4418664898
2119,37,119,001920,3,371190019203,Block Group 3,0016225,"Block Group 3, Census Tract 19.20, Mecklenburg County, North Carolina",358,0,56,43,35,0,77,14,0,8,77,8,11,8,12,9,0,31630,249,55,0.22088353,5033422.29211426,10882.2861171303
2120,37,119,005614,2,371190056142,Block Group 2,0016476,"Block Group 2, Census Tract 56.14, Mecklenburg County, North Carolina",867,0,17,0,30,93,0,17,19,16,50,80,177,65,139,40,124,85365,572,44,0.07692308,28413815.057373,27011.7317722066
2121,37,119,001603,1,371190016031,Block Group 1,0016176,"Block Group 1, Census Tract 16.03, Mecklenburg County, North Carolina",1104,52,106,83,119,61,62,45,54,51,107,65,164,38,25,65,7,41538,498,106,0.21285141,13510340.2340088,20493.2109543527
2122,37,119,001802,2,371190018022,Block Group 2,0016196,"Block Group 2, Census Tract 18.02, Mecklenburg County, North Carolina",860,28,0,25,115,77,18,60,66,55,91,36,104,99,39,34,13,49146,336,55,0.16369048,17098674.2688599,20423.4981349292
2123,37,119,004305,2,371190043052,Block Group 2,0016380,"Block Group 2, Census Tract 43.05, Mecklenburg County, North Carolina",1268,64,50,127,121,173,133,99,82,26,152,95,95,29,0,22,0,32063,831,233,0.28038508,16740273.6600342,17393.7735109442
2124,37,119,003015,2,371190030152,Block Group 2,0016299,"Block Group 2, Census Tract 30.15, Mecklenburg County, North Carolina",761,0,26,0,0,0,9,0,17,19,29,76,84,92,166,128,115,127567,504,18,0.03571429,22758901.2125244,23441.648171242
2125,37,119,005516,1,371190055161,Block Group 1,0016438,"Block Group 1, Census Tract 55.16, Mecklenburg County, North Carolina",626,4,11,5,0,9,5,28,15,10,39,52,73,83,38,139,115,114000,547,9,0.01645338,13187600.9967651,18648.2239793563
