OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,SHAPESTArea,SHAPESTLength
2724,37,119,005842,3,371190058423,Block Group 3,0016570,"Block Group 3, Census Tract 58.42, Mecklenburg County, North Carolina",1348,1276,76,10,24,0,110,0.08160237,20788102.9438477,20208.0280937321
2725,37,119,003007,1,371190030071,Block Group 1,0016281,"Block Group 1, Census Tract 30.07, Mecklenburg County, North Carolina",302,302,0,0,0,0,0,0,13348626.0202637,15564.7795537725
2726,37,119,006214,1,371190062141,Block Group 1,0016659,"Block Group 1, Census Tract 62.14, Mecklenburg County, North Carolina",831,714,194,0,20,0,214,0.25752106,30550245.0448608,32459.1670380719
2727,37,119,005706,2,371190057062,Block Group 2,0016493,"Block Group 2, Census Tract 57.06, Mecklenburg County, North Carolina",612,557,76,0,17,0,93,0.15196078,61451334.7022095,37634.15989371
2728,37,119,005617,1,371190056171,Block Group 1,0016480,"Block Group 1, Census Tract 56.17, Mecklenburg County, North Carolina",1003,841,274,0,0,25,299,0.29810568,30371262.8453369,32745.1113391389
2729,37,119,003500,1,371190035001,Block Group 1,0016335,"Block Group 1, Census Tract 35, Mecklenburg County, North Carolina",791,671,40,12,78,10,140,0.17699115,9604402.18121338,15373.0479625246
2730,37,119,001606,2,371190016062,Block Group 2,0016180,"Block Group 2, Census Tract 16.06, Mecklenburg County, North Carolina",902,749,250,28,0,0,278,0.30820399,7061130.1083374,11282.3398507943
2731,37,119,006006,3,371190060063,Block Group 3,0016614,"Block Group 3, Census Tract 60.06, Mecklenburg County, North Carolina",871,746,192,28,1,0,221,0.25373134,44480060.8673706,32546.8840305044
2732,37,119,000100,2,371190001002,Block Group 2,0016132,"Block Group 2, Census Tract 1, Mecklenburg County, North Carolina",1415,770,74,9,500,99,682,0.4819788,1931299.31311035,5561.7070286697
2733,37,119,006211,2,371190062112,Block Group 2,0016654,"Block Group 2, Census Tract 62.11, Mecklenburg County, North Carolina",1121,1005,138,18,0,29,185,0.16503122,24646060.0449829,28557.4032607068
2734,37,119,003201,2,371190032012,Block Group 2,0016322,"Block Group 2, Census Tract 32.01, Mecklenburg County, North Carolina",790,641,266,16,0,0,282,0.35696203,12826412.9768677,14856.3753844937
2735,37,119,005518,2,371190055182,Block Group 2,0016442,"Block Group 2, Census Tract 55.18, Mecklenburg County, North Carolina",843,813,60,0,0,0,60,0.07117438,53567422.0579224,30567.9829823022
2736,37,119,006108,1,371190061081,Block Group 1,0016637,"Block Group 1, Census Tract 61.08, Mecklenburg County, North Carolina",1232,1035,394,0,0,0,394,0.31980519,24258125.3752441,28739.4156434063
2737,37,119,000900,1,371190009001,Block Group 1,0016147,"Block Group 1, Census Tract 9, Mecklenburg County, North Carolina",316,188,104,51,8,17,180,0.56962025,6012896.75537109,10879.2128032862
2738,37,119,005823,2,371190058232,Block Group 2,0016528,"Block Group 2, Census Tract 58.23, Mecklenburg County, North Carolina",727,662,108,0,11,0,119,0.16368638,31662949.8204956,25015.0496059673
2739,37,119,001920,1,371190019201,Block Group 1,0016223,"Block Group 1, Census Tract 19.20, Mecklenburg County, North Carolina",1141,678,740,47,46,0,833,0.73006135,11125369.6213379,19431.3785776728
2740,37,119,005706,1,371190057061,Block Group 1,0016492,"Block Group 1, Census Tract 57.06, Mecklenburg County, North Carolina",703,603,176,12,0,0,188,0.26742532,31581713.6525879,26769.2549551213
2741,37,119,001300,3,371190013003,Block Group 3,0016159,"Block Group 3, Census Tract 13, Mecklenburg County, North Carolina",362,331,50,0,6,0,56,0.15469613,4074529.18029785,8835.60505254034
2742,37,119,002100,1,371190021001,Block Group 1,0016243,"Block Group 1, Census Tract 21, Mecklenburg County, North Carolina",392,312,80,40,0,0,120,0.30612245,4328307.67272949,8252.39481718292
2743,37,119,005615,1,371190056151,Block Group 1,0016478,"Block Group 1, Census Tract 56.15, Mecklenburg County, North Carolina",1026,912,132,0,8,40,180,0.1754386,32289417.9014893,27819.2964196312
2744,37,119,980300,1,371199803001,Block Group 1,0016685,"Block Group 1, Census Tract 9803, Mecklenburg County, North Carolina",13,13,0,0,0,0,0,0,5198921.41809082,9479.12148201509
2745,37,119,001603,2,371190016032,Block Group 2,0016177,"Block Group 2, Census Tract 16.03, Mecklenburg County, North Carolina",845,724,118,57,0,5,180,0.21301775,13419716.7613525,19651.1210011214
2746,37,119,006204,3,371190062043,Block Group 3,0016645,"Block Group 3, Census Tract 62.04, Mecklenburg County, North Carolina",1133,938,218,46,0,40,304,0.26831421,116343967.603333,51235.6816005351
2747,37,119,005825,1,371190058251,Block Group 1,0016532,"Block Group 1, Census Tract 58.25, Mecklenburg County, North Carolina",1260,1069,204,16,0,73,293,0.23253968,28386663.3942871,34802.7433724015
2748,37,119,005301,2,371190053012,Block Group 2,0016401,"Block Group 2, Census Tract 53.01, Mecklenburg County, North Carolina",243,177,132,0,0,0,132,0.54320988,22161287.0396118,20169.8583017354
2749,37,119,005832,1,371190058321,Block Group 1,0016547,"Block Group 1, Census Tract 58.32, Mecklenburg County, North Carolina",1375,1236,130,69,0,5,204,0.14836364,32163174.4959717,27866.2925143825
2750,37,119,003806,1,371190038061,Block Group 1,0016347,"Block Group 1, Census Tract 38.06, Mecklenburg County, North Carolina",2528,1917,844,77,112,0,1033,0.40862342,22471820.4138184,23275.2173365527
2751,37,119,002800,2,371190028002,Block Group 2,0016264,"Block Group 2, Census Tract 28, Mecklenburg County, North Carolina",537,487,86,0,0,7,93,0.17318436,9356399.30566406,14519.2296081605
2752,37,119,006209,2,371190062092,Block Group 2,0016649,"Block Group 2, Census Tract 62.09, Mecklenburg County, North Carolina",1087,1028,88,0,15,0,103,0.09475621,6579187.25170898,12768.6004713873
2753,37,119,001200,1,371190012001,Block Group 1,0016154,"Block Group 1, Census Tract 12, Mecklenburg County, North Carolina",978,813,176,65,0,12,253,0.25869121,13900013.2080078,23107.9226654763
2754,37,119,005838,1,371190058381,Block Group 1,0016560,"Block Group 1, Census Tract 58.38, Mecklenburg County, North Carolina",1122,983,196,16,0,25,237,0.21122995,10657603.7719116,12923.6901190821
2755,37,119,005610,1,371190056101,Block Group 1,0016469,"Block Group 1, Census Tract 56.10, Mecklenburg County, North Carolina",571,546,18,16,0,0,34,0.05954466,13117196.59375,18582.1634212118
2756,37,119,005403,2,371190054032,Block Group 2,0016415,"Block Group 2, Census Tract 54.03, Mecklenburg County, North Carolina",668,546,124,60,0,0,184,0.2754491,24549194.3629761,23960.7300769509
2757,37,119,005717,1,371190057171,Block Group 1,0016513,"Block Group 1, Census Tract 57.17, Mecklenburg County, North Carolina",1161,1013,262,0,17,0,279,0.24031008,7094764.87823486,13300.2347802795
